index,ID,name,cuisine,taste,dietary_restrictions,meat,KW,overview
1,1001,Butter chicken,Indian,spicy,nonvegetarian,chicken,creamy curry chicken tomato-based yogurt cream,"Rich, creamy, and slightly sweet, with a mild spiciness. The tender chicken is cooked in a flavorful tomato sauce that is enriched with cream and yogurt."
2,1002,Biryani,Indian,spicy,nonvegetarian,chicken,rice _dish spices  chicken beef vegetables,"This dish is a fragrant, flavorful rice dish made with basmati rice, spices, and either chicken, beef, or vegetables."
3,1003,Tandoori chicken,Indian,spicy,nonvegetarian,chicken,marinated _chicken  spices,"This dish is marinated chicken cooked in a tandoor, a traditional clay oven, resulting in juicy, smoky and spicy flavors."
4,1004,Samosa,Indian,savory,vegetarian,no_meat,deep_fried  baked_pastry spiced_potatoes,"This dish is a deep-fried or baked pastry filled with spiced potatoes, peas, and sometimes meat. It has a crispy exterior and a savory, spicy filling."
5,1005,Chole Bhature,Indian,spicy,vegetarian,no_meat,spicy_chickpeas  deep_fried bread,"This dish consists of spicy chickpeas served with deep-fried bread called bhature. It has a slightly tangy and spicy flavor, balanced by the crispy and fluffy texture of the bhature."
6,1006,Aloo Gobhi,Indian,spicy,vegetarian,no_meat,potatoes cauliflower spices_herbs.,"This dish is a vegetable dish made from potatoes and cauliflower cooked with spices and herbs. It has a slightly tangy, spicy flavor and is slightly dry in texture"
7,1007,Dal Makhani,Indian,spicy,vegetarian,no_meat,spiced_black  lentil  stew,"This dish is a creamy, spiced black lentil stew that has a rich, buttery flavor and a slightly tangy taste."
8,1008,Paneer Tikka Masala,Indian,spicy,vegetarian,no_meat,tomato_curry  paneer,"This dish is a creamy, spiced tomato-based curry made with paneer, a type of Indian cheese. It has a rich, creamy flavor with a tangy, slightly spicy taste."
9,1009,Masoor Dal,Indian,sweet,vegetarian,no_meat,red_lentil_stew  spices herbs,"This dish is a red lentil stew made with spices, herbs, and sometimes vegetables. It has a slightly sweet and earthy flavor, with a creamy, soft texture."
10,1010,chicken Tikka Masala,Indian,spicy,nonvegetarian,chicken,tomato_curry  boneless_chicken marinated_grilled.,"This dish is a creamy, spiced tomato-based curry made with chunks of boneless chicken that has been marinated and grilled. It has a rich, tangy flavor with a slightly spicy taste."
